〇	zero	líng
纳米技术	nanotechnology	nà mǐ jì shù
纳米比亚	Namibia	nà mǐ bǐ yà
纳米科技	nanotechnology	nà mǐ kē jì
纳米贝	Namibe	nà mǐ bèi
纳粹	Nazi	nà cuì
纳粹党	Nazi Party	nà cuì dǎng
纳粹德国	Nazi Germany	nà cuì dé guó
纳雍	Nayong	nà yōng
纳韦尔	Nevers	nà wéi ěr
纳鸿	Nahum	nà hóng
纵	vertical	zòng
纵令	even if	zòng lìng
纵令	even if	zòng lìng
纵使	even if	zòng shǐ
纵剖面	longitudinal section	zòng pōu miàn
纵向	longitudinal/vertical	zòng xiàng
纵坐标	ordinate	zòng zuò biāo
纵声	loudly/in a loud voice	zòng shēng
纵容	connive	zòng róng
纵射	enfilade	zòng shè
纵断面	vertical section	zòng duàn miàn
纵横	length and breadth	zòng héng
纵横字谜	crossword	zòng héng zì mí
纵步	stride/bound	zòng bù
纵波	longitudinal wave	zòng bō
纵火	commit arson/set on fire	zòng huǒ
纵火犯	arsonist	zòng huǒ fàn
纵火犯	arsonist	zòng huǒ fàn
纵火者	arsonist	zòng huǒ zhě
纵火者	arsonist	zòng huǒ 者
纵火者	arsonist	zòng huǒ 者
纵然	even if	zòng rán
纵线	vertical line	zòng xiàn
纵论	talk freely	zòng lùn
纵谈	talk freely	zòng tán
纵身	leap	zòng shēn
纵酒	overdrink	zòng jiǔ
纵队	column/file	zòng duì
纵隔	mediastinum	zòng gé
纶	classify	lún
纷	disorderly/numerous/confused	fēn
纷乱	numerous and disorderly	fēn luàn
纷争	dispute	fēn zhēng
纷扰	turmoil	fēn rǎo
纷繁	numerous and complicated	fēn fán
纷繁	numerous and complicated	fēn fán
纷纷	numerous and confused	fēn fēn
纸	paper	zhǐ
纸包不住火	truth will come out	zhǐ bāo bu zhù huǒ
纸包不住火	truth will come out	zhǐ bāo bu zhù huǒ
纸夹	paper clip/paperclip	zhǐ jiā
纸巾	facial tissue/napkin	zhǐ jīn
纸币	bank notes	zhǐ bì
纸张	paper	zhǐ zhāng
纸杯	paper cup	zhǐ bēi
纸板	cardboard	zhǐ bǎn
纸浆	paper pulp	zhǐ jiāng
纸烟	cigarette/cigaret	zhǐ yān
纸牌	playing card	zhǐ pái
纸牌戏	card game	zhǐ pái xì
纸笔	paper and pen	zhǐ bǐ
纸箔	joss paper	zhǐ bó
纸老虎	paper tiger	zhǐ lǎo hǔ
纸老虎	paper tiger	zhǐ lǎo hǔ
纸花	paper flower	zhǐ huā
纸草	papyrus	zhǐ cǎo
纸钱	paper	zhǐ qián
纸锭	paper ingots (burned as offerings to the dead)	zhǐ dìng
纸镇	paperweight	zhǐ zhèn
纸鱼	fish moth/silverfish	zhǐ yú
纸鸢	kite	zhǐ yuān
纸鹞	kite	zhǐ yào
纹	line	wén
纹理	grain	wén lǐ
纹理	grain	wén lǐ
纹缕	wrinkles	wén lǚ
纹路	grain	wén lù
纹路	grain	wén lù
纹身	tattoo	wén shēn
纺	spin	fǎng
纺丝	filature	fǎng sī
纺纱	to spin/spin/spinning	fǎng shā
纺织	textile/spinning and weaving	fǎng zhī
纺织业	textile industry	fǎng zhī yè
纺织品	textile/fabric	fǎng zhī pǐn
纺织娘	long-horned grasshopper/katydid	fǎng zhī niáng
纺织工业	textile industry	fǎng zhī gōng yè
纺织者	weaver	fǎng zhī zhě
纺织者	weaver	fǎng zhī 者
纺织者	weaver	fǎng zhī 者
纺锤	spindle	fǎng chuí
纽	button/to turn	niǔ
纽伦堡	Nuremberg	niǔ lún bǎo
纽卡斯尔	Newcastle	niǔ kǎ sī ěr
纽卡素	Newcastle	niǔ kǎ sù
纽埃	Niue	niǔ āi
纽子	button	niǔ zi
纽带	tie/link/bond	niǔ dài
纽扣	button	niǔ kòu
纽曼	Newman	niǔ màn
纽泽西	New Jersey	niǔ zé xī
纽瓦克	Newark	niǔ wǎ kè
纽约	New York	niǔ yuē
纽约人	New Yorker	niǔ yuē rén
纽约大学	New York University	niǔ yuē dà xué
纽约州	New York state	niǔ yuē zhōu
纽约市	New York City/New York	niǔ yuē shì
纽约时报	New York Times	niǔ yuē shí bào
纽芬兰	Newfoundland	niǔ fēn lán
纽襻	button loop	niǔ pàn
纽西兰	New Zealand	niǔ xī lán
纽黑文	New Haven	niǔ hēi wén
纾	to free from	shū
纾困	provide financial relief	shū kùn
线	line	xiàn
线上	online	xiàn shàng
线下	offline	xiàn xià
线人	spy/informer	xiàn rén
线图	diagram/line graph	xiàn tú
线圈	coil	xiàn quān
线性	linear	xiàn xìng
线性代数	linear algebra	xiàn xìng dài shù
线性规划	linear programming	xiàn xìng guī huà
线条	streak	xiàn tiáo
线段	line segment	xiàn duàn
线状	linear	xiàn zhuàng
线索	trail/thread/clue	xiàn suǒ
线索	trail/thread/clue	xiàn suǒ
线绳	cotton rope	xiàn shéng
线虫	nematode	xiàn chóng
线路	line/circuit/road	xiàn lù
线路	line/circuit/road	xiàn lù
线轴	thread spool	xiàn zhóu
线速度	linear velocity	xiàn sù dù
线速度	linear velocity	xiàn sù dù
线锯	jigsaw/fret saw	xiàn jù
绀	violet or purple	gàn
绂	ribbon for a seal	fú
练	train	liàn
练习	practice/exercise	liàn xí
练达	experienced	liàn dá
组	to form/group/form	zǔ
组件	component	zǔ jiàn
组分	constituent/component	zǔ fèn
组别	name	zǔ bié
组合	to assemble/combination	zǔ hé
组合学	combinatorics	zǔ hé xué
组合数学	combinatorics	zǔ hé shù xué
组建	organize/establish	zǔ jiàn
组成	to form/form	zǔ chéng
组成部分	constituent	zǔ chéng bù fèn
组曲	suite	zǔ qǔ
组氨酸	histidine	zǔ ān suān
组织	organization	zǔ zhī
组织委员会	organizing committee	zǔ zhī wěi yuán huì
组织学	histology	zǔ zhī xué
组织法	organic law	zǔ zhī fǎ
组织者	organizer	zǔ zhī zhě
组织者	organizer	zǔ zhī zhě
组织者	organizer	zǔ zhī zhě
组织胞浆菌病	histoplasmosis	zǔ zhī bāo jiāng jūn bìng
组胺	histamine	zǔ àn
组蛋白	histone	zǔ dàn bái
组装	to assemble and install/assemble and install	zǔ zhuāng
绅	member of gentry	shēn
绅士	gentleman	shēn shì
细	thin and soft	xì
细作	secret agent	xì zuò
细则	detailed rules and regulations	xì zé
细动脉	arteriole	xì dòng mài
细听	listen carefully	xì tīng
细嫩	tender	xì nèn
细密	detailed/close/meticulous	xì mì
细察	check	xì chá
细小	fine/tiny	xì xiǎo
细微	subtle/fine	xì wēi
细心	careful/attentive	xì xīn
细想	think carefully	xì xiǎng
细支气管炎	bronchiolitis	xì zhī qì guǎn yán
细枝末节	minor details	xì zhī mò jié
细沙	fine sand	xì shā
细润	fine and glossy	xì rùn
细目	specific item/detail	xì mù
细看	carefully look	xì kàn
细粉	powder	xì fěn
细线	string	xì xiàn
细细	very careful	xì xì
细胞	cell	xì bāo
细胞周期	cell cycle	xì bāo zhōu qī
细胞器	organelle	xì bāo qì
细胞器	organelle	xì bāo qì
细胞器官	organelle	xì bāo qì guān
细胞器官	organelle	xì bāo 器 guān
细胞壁	cell wall	xì bāo bì
细胞学	cytology	xì bāo xué
细胞核	cell nucleus	xì bāo hé
细胞毒性	cytotoxicity	xì bāo dú xìng
细胞状	celluliform	xì bāo zhuàng
细胞膜	cell membrane	xì bāo mó
细胞色素	cytochrome	xì bāo sè sù
细胞质	cytoplasm	xì bāo zhì
细胞骨架	cytoskeleton	xì bāo gǔ jià
细腻	exquisite	xì nì
细致	meticulous/careful/painstaking	xì zhì
细节	particulars/detail/details	xì jié
细菌	bacterium/germ	xì jūn
细菌学	bacteriology	xì jūn xué
细菌战	biological warfare	xì jūn zhàn
细说	tell in detail	xì shuō
细读	carefully read	xì dú
细软	valuables	xì ruǎn
细部	detail	xì bù
细长	slender	xì cháng
细雨	fine rain/drizzle	xì yǔ
细颈瓶	jug	xì jǐng píng
细香葱	chive	xì xiāng cōng
织	knit/weave	zhī
织品	textile	zhī pǐn
织女星	Vega	zhī nǚ xīng
织女星	Vega	zhī nǚ xīng
织布	weave cloth	zhī bù
织布机	loom	zhī bù jī
织机	loom	zhī jī
织物	fabric/cloth	zhī wù
织补	darning	zhī bǔ
织造	weave	zhī zào
织金	Zhijin	zhī jīn
织金	Zhijin	zhī jīn
织锦	brocade	zhī jǐn
终	finish/end	zhōng
终了	end	zhōng liǎo
终了	end	zhōng liǎo
终于	in the end/at last/finally	zhōng yú
终天	all day long	zhōng tiān
终局	outcome/end	zhōng jú
终日	all day	zhōng rì
终曲	finale	zhōng qū
终极	ultimate/final	zhōng jí
终止	stop	zhōng zhǐ
终点	destination	zhōng diǎn
终点地址	destination address	zhōng diǎn dì zhǐ
终生	lifelong	zhōng shēng
终究	in the end/after all/eventually	zhōng jiū
终端	terminal/end	zhōng duān
终端机	terminal	zhōng duān jī
终端用户	end user	zhōng duān yòng hù
终结	end/conclusion	zhōng jié
终身	all one's life/marriage/lifelong	zhōng shēn
绉	crepe	zhòu
绊	to trip/stumble	bàn
绊倒	stumble/trip	bàn dǎo
绊脚石	stumbling block/obstacle	bàn jiǎo shí
绋	heavy rope	fú
绌	crimson silk/to stitch	chù
绍	continue/connect	shào
绍兴市	Shaoxing	shào xīng shì
绎	continuous/unravel	yì
经	canon	jīng
经不起	can't stand	jīng bu qǐ
经不起	can't stand	jīng bu qǐ
经久不衰	unfailing	jīng jiǔ bù shuāi
经久不衰	unfailing	jīng jiǔ bù shuāi
经书	classic book	jīng shū
经产妇	multipara	jīng chǎn fù
经典	scriptures/classical/classic	jīng diǎn
经卷	volumes of classics	jīng juàn
经历	go through/experience	jīng lì
经受	withstand/undergo/to undergo	jīng shòu
经商	trade	jīng shāng
经常	regularly	jīng cháng
经幢	Buddhist stone pillar	jīng chuáng
经年	for years	jīng nián
经年	for years	jīng nián
经年累月	for years	jīng nián lěi yuè
经年累月	for years	jīng nián lěi yuè
经年累月	for years	jīng nián lěi yuè
经度	longitude	jīng dù
经度	longitude	jīng dù
经得起	can endure	jīng de qǐ
经手	deal with/handle	jīng shǒu
经文	scripture	jīng wén
经期	menstrual period	jīng qī
经济	economic/economy	jīng jì
经济一体化	economic integration	jīng jì yī tǐ huà
经济主义	economism	jīng jì zhǔ yì
经济体制	economic system	jīng jì tǐ zhì
经济停滞	economic stagnation	jīng jì tíng zhì
经济利益	economic interests	jīng jì lì yì
经济利益	economic interests	jīng jì lì 益
经济利益	economic interests	jīng jì lì 益
经济利益	economic interests	jīng jì 利 yì
经济制裁	economic sanctions	jīng jì zhì cái
经济前途	economic future	jīng jì qián tú
经济力量	economic strength	jīng jì lì liang
经济力量	economic strength	jīng jì lì liang
经济力量	economic strength	jīng jì lì liang
经济危机	economic crisis	jīng jì wēi jī
经济发展	economic development	jīng jì fā zhǎn
经济周期	economic cycle	jīng jì zhōu qī
经济命脉	economic lifeline	jīng jì mìng mài
经济基础	economic foundation	jīng jì jī chǔ
经济增长	economic growth	jīng jì zēng zhǎng
经济大国	economic power	jīng jì dà guó
经济学	economics	jīng jì xué
经济学家	economist	jīng jì xué jiā
经济学者	economist	jīng jì xué zhě
经济学者	economist	jīng jì xué zhě
经济学者	economist	jīng jì xué zhě
经济安全	economic security	jīng jì ān quán
经济安全	economic security	jīng jì ān quán
经济封锁	economic blockade	jīng jì fēng suǒ
经济指标	economic indicator	jīng jì zhǐ biāo
经济援助	economic aid	jīng jì yuán zhù
经济改革	economic reform	jīng jì gǎi gé
经济政策	economic policy	jīng jì zhèng cè
经济波动	economic fluctuation	jīng jì bō dòng
经济特区	special economic zone	jīng jì tè qū
经济界	economic circles	jīng jì jiè
经济结构	economic structure	jīng jì jié gòu
经济舱	economy class	jīng jì cāng
经济萧条	economic depression	jīng jì xiāo tiáo
经济衰退	economic recession	jīng jì shuāi tuì
经济计划	economic plan	jīng jì jì huà
经理	director/manager/manage	jīng lǐ
经理	director/manager/manage	jīng lǐ
经由	via	jīng yóu
经筵	place where the emperor listened to lectures	jīng yán
经管	be in charge of	jīng guǎn
经纪	broker/manage (a business)	jīng jì
经纪人	middleman/broker/agent	jīng jì rén
经纬	warp and woof	jīng wěi
经纬仪	theodolite	jīng wěi yí
经纬线	warp and woof	jīng wěi xiàn
经线	warp	jīng xiàn
经络	energy channels	jīng luò
经营	to operate/engage in/run	jīng yíng
经营管理和维护	Operations Administration and Maintenance	jīng yíng guǎn lǐ hé wéi hù
经营管理和维护	Operations Administration and Maintenance	jīng yíng guǎn 理 hé wéi hù
经营者	manager	jīng yíng zhě
经营者	manager	jīng yíng zhě
经营者	manager	jīng yíng zhě
经营费用	business cost	jīng yíng fèi yòng
经费	funds	jīng fèi
经过	process	jīng guò
经销	sell/sell on commission	jīng xiāo
经销商	broker/dealer	jīng xiāo shāng
经陆路	overland	jīng lù lù
经陆路	overland	jīng lù 路
经院哲学	scholasticism	jīng yuàn zhé xué
经验	to experience/experience	jīng yàn
经验丰富	having much experience	jīng yàn fēng fù
经验主义	empiricism	jīng yàn zhǔ yì
经验主义者	empiric	jīng yàn zhǔ yì zhě
经验主义者	empiric	jīng yàn zhǔ yì 者
经验主义者	empiric	jīng yàn zhǔ yì 者
经验论	empiricism	jīng yàn lùn
经验论者	empiricist	jīng yàn lùn zhě
经验论者	empiricist	jīng yàn lùn 者
经验论者	empiricist	jīng yàn lùn 者
绑	tie	bǎng
绑住	fasten/bind	bǎng zhù
绑匪	kidnapper	bǎng fěi
绑架	to kidnap	bǎng jià
绑架者	kidnapper	bǎng jià zhě
绑架者	kidnapper	bǎng jià 者
绑架者	kidnapper	bǎng jià 者
绑缚	tie up	bǎng fù
绑腿	puttee/leg wrappings	bǎng tuǐ
绒	woolen/velvet	róng
绒布	flannel	róng bù
绒毛	down	róng máo
绒鸭	eider	róng yā
结	firm	jiē
结业	complete a course	jié yè
结交	make friends with	jié jiāo
结亲	marry	jié qīn
结仇	become enemies	jié chóu
结伴	go with/form companionships	jié bàn
结余	balance	jié yú
结党	form a clique	jié dǎng
结冰	freeze	jié bīng
结合	integrate/combine/link	jié hé
结婚	to marry/marry/get married	jié hūn
结婚登记	marriage registration	jié hūn dēng jì
结婚纪念日	wedding anniversary	jié hūn jì niàn rì
结婚纪念日	wedding anniversary	jié hūn jì niàn rì
结婚证	marriage certificate	jié hūn zhèng
结存	balance	jié cún
结实	durable/strong/bear fruit	jiē shí
结尾	end/ending	jié wěi
结局	conclusion	jié jú
结巴	stutter	jiē ba
结帐	to settle accounts	jié zhàng
结成	form	jié chéng
结扎	ligate	jié zā
结晶	crystal	jié jīng
结晶学	crystallography	jié jīng xué
结束	close	jié shù
结束语	concluding remarks	jié shù yǔ
结构	composition/structure	jié gòu
结构主义	structuralism	jié gòu zhǔ yì
结构助词	structural particle	jié gòu zhù cí
结构变化	structural change	jié gòu biàn huà
结构式	structural formula	jié gòu shì
结果	result	jiē guǒ
结核	nodule/tuberculosis	jié hé
结核病	tuberculosis	jié hé bìng
结核菌素	tuberculin	jié hé jūn sù
结清	square up/settle	jié qīng
结满	cover (w.net etc)	jié mǎn
结球甘蓝	cabbage	jié qiú gān lán
结痂	form a scab/scab	jié jiā
结盟	align/form an alliance/ally	jié méng
结石	calculus/stone	jié shí
结算	settle/close an account	jié suàn
结缔组织	connective tissue	jié dì zǔ zhī
结缡	marry	jié lí
结肠	colon	jié cháng
结肠炎	colitis	jié cháng yán
结膜	conjunctiva	jié mó
结膜炎	conjunctivitis	jié mó yán
结节	tubercle	jié jié
结草虫	bagworm	jié cǎo chóng
结论	to conclude/verdict/conclusion	jié lùn
结识	get to know	jié shí
结语	concluding remarks	jié yǔ
结账	to settle accounts	jié zhàng
绕	coil	rào
绕开	avoid	rào kāi
绕行	make a detour	rào xíng
绕行	make a detour	rào xíng
绕路	make a detour	rào lù
绕路	make a detour	rào lù
绕过	bypass	rào guò
绘	to draw	huì
绘制	to draw	huì zhì
绘图	to draw/drawing	huì tú
绘声绘色	vivid/lively	huì shēng huì sè
绘画	paint/draw/drawing	huì huà
绘画	paint/draw/drawing	huì huà
给	give	gěi
给予	give	jǐ yǔ
给付	pay	jǐ fù
给以	give/grant	gěi yǐ
给力	cool	gěi lì
给力	cool	gěi lì
给水	feed water	jǐ shuǐ
绚	adorned/gorgeous	xuàn
绚丽	magnificent/gorgeous	xuàn lì
绚丽多彩	bright and colourful/gorgeous	xuàn lì duō cǎi
绚丽多彩	bright and colourful/gorgeous	xuàn lì duō cǎi
绚烂	splendid/gorgeous	xuàn làn
绛县	Jiang county	jiàng xiàn
络	net	lào
络脉	collaterals	luò mài
绝	cut short	jué
绝不	in no way	jué bù
绝不	in no way	jué bù
绝交	break off relations	jué jiāo
绝产	crop failure	jué chǎn
绝代	peerless	jué dài
绝伦	peerless	jué lún
绝句	quatrain	jué jù
绝句	quatrain	jué jù
绝地	Jedi	jué dì
绝境	hopeless situation/isolated condition	jué jìng
绝壁	precipice	jué bì
绝大多数	absolute majority	jué dà duō shù
绝妙	exquisite	jué miào
绝对	absolute	jué duì
绝对值	absolute value	jué duì zhí
绝对温度	absolute temperature	jué duì wēn dù
绝对温度	absolute temperature	jué duì wēn dù
绝对湿度	absolute humidity	jué duì shī dù
绝对湿度	absolute humidity	jué duì shī dù
绝对观念	absolute idea	jué duì guān niàn
绝对观念	absolute idea	jué duì guān niàn
绝对论	absolutism	jué duì lùn
绝对零度	absolute zero	jué duì líng dù
绝对零度	absolute zero	jué duì líng dù
绝对零度	absolute zero	jué duì líng dù
绝情	heartless	jué qíng
绝技	stunt	jué jì
绝招	unique skill	jué zhāo
绝无仅有	unique	jué wú jǐn yǒu
绝望	give up all hope/despair/desperation	jué wàng
绝望	give up all hope/despair/desperation	jué wàng
绝气	expire	jué qì
绝活	unique skill	jué huó
绝然	completely	jué rán
绝症	terminal illness	jué zhèng
绝种	extinction	jué zhǒng
绝育	sterilization	jué yù
绝诣	profoundly well-versed	jué yì
绝迹	vanish	jué jì
绝非	absolutely not	jué fēi
绝食	go on a hunger strike	jué shí
绞	twist	jiǎo
绞尽脑汁	rack one's brains	jiǎo jìn nǎo zhī
绞扭	wring	jiǎo niǔ
绞痛	angina/colic	jiǎo tòng
绞盘	capstan	jiǎo pán
绞缢	be hanged/hang oneself	jiǎo yì
绞车	windlass/winch	jiǎo chē
统	to gather/whole/unite	tǒng
统一	integrate	tǒng yī
统一性	unity	tǒng yī xìng
统一战线	united front	tǒng yī zhàn xiàn
统一招生	national unified entrance exam	tǒng yī zhāo shēng
统一码	Unicode	tǒng yī mǎ
统共	altogether	tǒng gòng
统制	control	tǒng zhì
统属	subordination	tǒng shǔ
统帅	commander-in-chief/command	tǒng shuài
统战	united front	tǒng zhàn
统战部	United Front Work Department	tǒng zhàn bù
统治	to rule/rule	tǒng zhì
统治权	sovereignty	tǒng zhì quán
统治者	ruler	tǒng zhì zhě
统治者	ruler	tǒng zhì zhě
统治者	ruler	tǒng zhì zhě
统率	command/lead	tǒng shuài
统率	command/lead	tǒng shuài
统率	command/lead	tǒng shuài
统称	collectively called	tǒng chēng
统筹	plan as a whole	tǒng chóu
统管	manage	tǒng guǎn
统统	totally	tǒng tǒng
统考	unified examination	tǒng kǎo
统舱	steerage	tǒng cāng
统觉	apperception	tǒng jué
统计	count/add up/statistics	tǒng jì
统计员	statistician	tǒng jì yuán
统计图	statistical chart	tǒng jì tú
统计学	statistics	tǒng jì xué
统计学家	statistician	tǒng jì xué jiā
统计数字	statistics	tǒng jì shù zì
统计数据	statistical data	tǒng jì shù jù
统计结果	statistical results	tǒng jì jié guǒ
统计表	statistical table	tǒng jì biǎo
统计资料	statistical data	tǒng jì zī liào
统计资料	statistical data	tǒng jì zī 料
统购	state purchasing monopoly	tǒng gòu
统辖	govern	tǒng xiá
统销	state marketing monopoly	tǒng xiāo
统领	to lead/command/commander	tǒng lǐng
绠	rope	gěng
绡	raw silk	xiāo
绢	thin, tough silk	juàn
绣	to embroider/embroidery/embroider	xiù
绣帷	tapestry	xiù wéi
绣花	do embroidery/to embroider	xiù huā
绣花鞋	embroidered shoes	xiù huā xié
绥	pacify	suí
绥中	Suizhong	suí zhōng
绥化	Suihua	suí huà
绥化市	Suihua	suí huà shì
绥宁	Suining	suí níng
绥德	Suide	suí dé
绥棱	Suileng	suí líng
绥江	Suijiang	suí jiāng
绥滨	Suibin	suí bīn
绥芬河市	Suifenhe	suí fēn hé shì
绥阳	Suiyang	suí yáng
绥靖	pacify/appease	suí jìng
绥靖	pacify/appease	suí jìng
绥靖	pacify/appease	suí jìng
绥靖主义	appeasement	suí jìng zhǔ yì
绥靖主义	appeasement	suí jìng zhǔ yì
绥靖主义	appeasement	suí jìng zhǔ yì
绦	braid	dí
绦带	silk ribbon	tāo dài
绦虫	tapeworm	tāo chóng
继	then	jì
继任	in a post	jì rèn
继任者	successor	jì rèn zhě
继任者	successor	jì rèn zhě
继任者	successor	jì rèn zhě
继位	succeed to the throne	jì wèi
继女	stepdaughter	jì nǚ
继女	stepdaughter	jì nǚ
继子	stepson	jì zǐ
继子女	stepchildren	jì zǐ nǚ
继子女	stepchildren	jì zǐ nǚ
继承	to inherit	jì chéng
继承人	heir/successor	jì chéng rén
继承者	successor	jì chéng zhě
继承者	successor	jì chéng zhě
继承者	successor	jì chéng zhě
继母	stepmother	jì mǔ
继父	stepfather	jì fù
继电器	relay	jì diàn qì
继电器	relay	jì diàn qì
继续	continue/go on/to continue	jì xù
继而	then/afterwards/afterward	jì ér
绨	coarse greenish black pongee	tí
绩	accomplishment/merit	jì
绩效	results/achievement	jì xiào
绩溪	Jixi	jì xī
绪	beginnings	xù
绪言	preface	xù yán
绪论	introduction/preface	xù lùn
绫	damask	líng
续	continue/to continue	xù
续签	to renew	xù qiān
续篇	continuation/sequel	xù piān
续续	continuous	xù xù
续编	sequel	xù biān
续订	to renew	xù dìng
续集	sequel	xù jí
绮	beautiful	qǐ
绮丽	beautiful	qǐ lì
绮云	beautiful clouds	qǐ yún
绮岁	youthful age	qǐ suì
绮年	young/youthful	qǐ nián
绮年	young/youthful	qǐ nián
绮想曲	capriccio	qǐ xiǎng qǔ
绮梦	pleasant and romantic dream	qǐ mèng
绮灿	enchanting/gorgeous	qǐ càn
绮筵	magnificent feast	qǐ yán
绮罗	person in beautiful silk dress/beautiful silk fabrics	qǐ luó
绮衣	beautiful clothes	qǐ yī
绮貌	beautiful appearance	qǐ mào
绮陌	splendid streets	qǐ mò
绮靡	beautiful and intricate	qǐ mǐ
绯	dark red	fēi
绯闻	sex scandal	fēi wén
绰	generous/spacious/ample	chāo
绰号	nickname	chuò hào
绰约	graceful	chuò yuē
绰绰有余	enough and to spare	chuò chuò yǒu yú
绲	cord	gǔn
绳	rope	shéng
绳之以法	to bring to justice	shéng zhī yǐ fǎ
绳子	rope/string	shéng zi
绳球	tetherball	shéng qiú
绳索	rope	shéng suǒ
绳索	rope	shéng suǒ
绳结	knot	shéng jié
维	maintain/dimension/to preserve	wéi
维也纳	Vienna	wéi yě nà
维他命	vitamin	wéi tā mìng
维修	maintain	wéi xiū
维修工	maintenance worker	wéi xiū gōng
维克托	Victor	wéi kè tuō
维吉尔	Virgil	wéi jí ěr
维吉尼亚	Virginia	wéi jí ní yà
维吾尔	Uighur	wéi wú ěr
维吾尔语	Uighur	wéi wú ěr yǔ
维哥	Vigo	wéi gē
维基	wiki	wéi jī
维基百科	Wikipedia	wéi jī bǎi kē
维塔利	Vitaly	wéi tǎ lì
维塔利	Vitaly	wéi tǎ 利
维多利亚	Victoria	wéi duō lì yà
维多利亚	Victoria	wéi duō lì yà
维多利亚湖	Lake Victoria	wéi duō lì yà hú
维多利亚湖	Lake Victoria	wéi duō lì yà hú
维尔京群岛	Virgin Islands	wéi ěr jīng qún dǎo
维尔纽斯	Vilnius	wéi ěr niǔ sī
维尼纶	vinylon	wéi ní lún
维护	to protect/to maintain	wéi hù
维持	preserve/to keep/keep	wéi chí
维持费	maintenance costs	wéi chí fèi
维数	dimensionality	wéi shù
维新	modernization	wéi xīn
维珍	Virgin (company)	wéi zhēn
维生素	vitamin	wéi shēng sù
维管束	vascular bundle	wéi guǎn shù
维系	hold together/maintain/to maintain	wéi xì
维纳斯	Venus	wéi nà sī
维罗纳	Verona	wéi luó nà
维达	Vida	wéi dá
绵	cotton	mián
绵延	stretch long and unbroken	mián yán
绵火药	pyroxylin	mián huǒ yào
绵竹	Mianzhu	mián zhú
绵绵	continuous	mián mián
绵绵不绝	continuous/endless	mián mián bù jué
绵绵不绝	continuous/endless	mián mián bù jué
绵羊	sheep	mián yáng
绵远	remote	mián yuǎn
绵阳市	Mianyang	mián yáng shì
绶	cord on a seal	shòu
绷	to stretch/taut	bēng
绷子	hoop/embroidery frame	bēng zi
绷带	bandage	bēng dài
绷床	trampoline	bēng chuáng
绷着脸	pull a long face	běng zhe liǎn
绷着脸	pull a long face	běng zhe liǎn
绷簧	spring	bēng huáng
绸子	silk fabric/silk	chóu zi
绸缪	sentimentally attached	chóu móu
绺	lock/skein/tuft	liǔ
绻	bound in a league	quǎn
综	to sum up	zèng
综合	composite/comprehensive/to sum up	zōng hé
综合布线	integrated wiring	zōng hé bù xiàn
综合征	syndrome	zōng hé zhēng
综合性	synthesis	zōng hé xìng
综合报导	summary report	zōng hé bào dǎo
综合服务数位网络	Integrated Services Digital Network	zōng hé fú wù shù wèi wǎng luò
综合法	synthesis	zōng hé fǎ
综合症	syndrome	zōng hé zhèng
综合艺术	multi-media arts	zōng hé yì shù
综理	be in overall charge	zōng lǐ
综理	be in overall charge	zōng lǐ
综艺	comprehensive arts and entertainment	zōng yì
综艺节目	variety show	zōng yì jié mù
综述	sum up	zōng shù
绽	ripped seam/split/burst	zhàn
绽开	burst forth	zhàn kāi
绽放	blossom/to blossom	zhàn fàng
绽破	split/burst	zhàn pò
绽线	have a ripped seam	zhàn xiàn
绽露	appear	zhàn lù
绽露	appear	zhàn lù
绾	bind up	wǎn
绿	green	lù
绿内障	glaucoma	lǜ nèi zhàng
绿化带	green belt	lǜ huà dài
绿卡	green card	lǜ kǎ
绿宝石	beryl	lǜ bǎo shí
绿帘石	epidote	lǜ lián shí
绿带	green belt	lǜ dài
绿帽子	cuckold	lǜ mào zi
绿松石	turquoise	lǜ sōng shí
绿树	greenery	lǜ shù
绿水	crystal-clear water	lǜ shuǐ
绿泥石	chlorite	lǜ ní shí
绿泥石	chlorite	lǜ ní shí
绿洲	oasis	lǜ zhōu
绿灯	green light	lǜ dēng
绿玉髓	chrysoprase	lǜ yù suǐ
绿矾	green vitriol	lǜ fán
绿绿	green	lǜ lǜ
绿肥	green manure	lǜ féi
绿色	green	lǜ sè
绿色和平	Greenpeace	lǜ sè hé píng
绿色革命	green revolution	lǜ sè gé mìng
绿色食品	organic food	lǜ sè shí pǐn
绿茵场	football field	lǜ yīn chǎng
绿茶	green tea	lǜ chá
绿茶	green tea	lǜ chá
绿草	green grass	lǜ cǎo
绿莹莹	green and lush	lǜ yīng yīng
绿豆	mung bean	lǜ dòu
缀	sew	chuò
缀合	compose	zhuì hé
缀字	to spell	zhuì zì
缀饰	decoration	zhuì shì
缁	Buddhists/black	zī
缂	to woof	kè
缃	light yellow colour	xiāng
缄	to close/letters/letter	jiān
缄默	to keep silent/keep silent	jiān mò
缅	remote	miǎn
缅因	Maine	miǎn yīn
缅因州	Maine	miǎn yīn zhōu
缅甸	Myanmar	miǎn diàn
缅甸语	Burmese language	miǎn diàn yǔ
缅邈	far/remote	miǎn miǎo
缆	hawser/cable	lǎn
缆线	cable	lǎn xiàn
缆车	cable car	lǎn chē
缈	indistinct	miǎo
缉	arrest/seize/to stitch finely	jī
缉拿	arrest/seize	jī ná
缉捕	seize	jī bǔ
缉获	arrest	jī huò
缋	to draw	huì
缌	fine linen	sī
缎	satin	duàn
缎子	satin	duàn zi
缎布	satin	duàn bù
